Fe,Co,Cr,Ni,Al,Ti
22,23,16,33,5,1
18,20,16,39,5,2
18,19,16,40,5,2
17,20,16,40,5,2
16,20,16,41,5,2
17,19,16,41,5,2
21,23,19,28,7,2
21,23,18,29,7,2
22,16,17,34,9,2
22,15,17,35,9,2
22,14,17,36,9,2
22,18,13,38,7,2
22,23,19,30,4,2
16,21,16,39,6,2
15,21,16,40,6,2
21,20,16,37,5,1
22,22,17,30,7,2
21,16,19,34,8,2
21,17,18,34,8,2
21,15,19,35,8,2
21,16,18,35,8,2
21,14,19,36,8,2
21,15,18,36,8,2
21,16,16,37,9,1
20,17,16,35,10,2
18,18,16,41,5,2
22,17,17,32,10,2
22,16,17,33,10,2
22,22,17,27,10,2
21,17,13,39,8,2
21,16,13,40,8,2
21,15,13,41,8,2
21,15,17,38,8,1
19,18,16,39,6,2
22,20,17,34,5,2
22,19,17,35,5,2
21,18,18,31,10,2
21,17,15,38,7,2
21,19,18,31,9,2
20,18,17,38,5,2
21,22,16,32,8,1
20,19,16,37,6,2
20,16,16,36,10,2
16,23,16,37,6,2
17,23,16,34,8,2
16,23,16,35,8,2
22,17,17,35,7,2
22,16,17,36,7,2
22,22,16,32,7,1
20,18,18,38,4,2
22,17,17,33,9,2
22,22,17,28,9,2
21,23,16,34,5,1
22,20,14,38,4,2
21,23,19,30,5,2
21,18,18,32,9,2
21,18,19,31,9,2
15,23,18,38,4,2
21,21,18,31,7,2
20,13,17,39,9,2
20,17,16,36,9,2
21,17,19,33,8,2
15,23,16,36,8,2
21,16,13,38,10,2
15,23,17,38,5,2
20,22,17,35,4,2
22,19,16,34,8,1
21,13,16,42,7,1
19,23,16,33,7,2
22,23,16,32,6,1
21,22,13,38,5,1
22,13,19,39,5,2
22,14,18,39,5,2
18,20,16,38,6,2
21,22,19,28,8,2
21,22,18,29,8,2
22,22,13,37,4,2
20,20,17,37,4,2
21,17,13,38,9,2
18,23,16,33,8,2
18,20,16,37,7,2
17,23,17,37,4,2
16,21,16,37,8,2
21,18,17,38,5,1
22,18,16,35,8,1
21,22,16,33,7,1
22,17,13,38,8,2
15,21,17,38,7,2
22,23,16,30,8,1
21,20,13,38,7,1
22,18,16,37,6,1
18,19,16,39,6,2
22,16,17,37,6,2
21,14,19,34,10,2
21,15,18,34,10,2
21,13,19,35,10,2
21,14,18,35,10,2
21,13,18,36,10,2
17,20,16,39,6,2
16,20,16,40,6,2
17,19,16,40,6,2
15,20,16,41,6,2
16,19,16,41,6,2
22,13,19,37,7,2
22,14,18,37,7,2
22,21,17,33,5,2
19,18,16,37,8,2
22,20,19,33,4,2
22,19,19,34,4,2
22,20,18,34,4,2
22,18,19,35,4,2
22,19,18,35,4,2
22,15,17,38,7,1
22,20,16,33,8,1
17,21,17,39,4,2
16,21,17,40,4,2
15,21,17,41,4,2
22,23,16,28,10,1
19,19,17,39,4,2
19,18,17,40,4,2
19,23,16,31,9,2
21,17,14,39,7,2
21,16,14,40,7,2
21,15,14,41,7,2
21,13,17,38,10,1
21,20,16,34,8,1
21,19,16,35,8,1
21,23,16,33,6,1
21,15,17,39,7,1
21,14,17,40,7,1
21,13,17,41,7,1
21,16,15,38,8,2
19,22,16,33,8,2
21,14,17,39,8,1
21,13,17,40,8,1
22,23,17,30,6,2
21,18,20,31,8,2
22,13,18,40,5,2
21,22,18,31,6,2
18,23,16,34,7,2
18,18,16,40,6,2
21,19,16,37,6,1
17,23,16,35,7,2
17,18,16,41,6,2
21,22,16,31,9,1
21,15,19,34,9,2
21,16,18,34,9,2
21,14,19,35,9,2
21,15,18,35,9,2
21,13,19,36,9,2
21,14,18,36,9,2
22,20,16,34,7,1
22,19,16,35,7,1
21,23,20,26,8,2
22,13,18,37,8,2
22,23,16,29,9,1
21,22,19,29,7,2
21,22,18,30,7,2
22,19,13,38,7,1
21,18,16,36,8,1
22,18,17,36,5,2
21,14,17,38,9,1
22,23,13,37,4,1
22,14,17,38,8,1
15,21,16,42,4,2
16,23,16,36,7,2
22,13,19,38,6,2
22,14,18,38,6,2
18,22,16,37,5,2
21,21,13,38,5,2
15,23,16,34,10,2
21,16,19,32,10,2
21,17,18,32,10,2
21,15,19,33,10,2
21,16,18,33,10,2
21,17,19,31,10,2
21,23,20,24,10,2
21,22,19,26,10,2
21,22,18,27,10,2
22,18,16,36,7,1
21,20,19,33,5,2
21,19,19,34,5,2
21,20,18,34,5,2
21,19,18,35,5,2
21,23,16,29,10,1
21,19,20,31,7,2
22,21,17,30,8,2
19,22,16,34,7,2
16,23,16,34,9,2
15,23,16,35,9,2
21,17,19,34,7,2
21,16,19,35,7,2
21,17,18,35,7,2
21,15,19,36,7,2
21,16,18,36,7,2
22,22,16,34,5,1
19,17,16,41,5,2
21,17,19,32,9,2
21,16,19,33,9,2
21,17,18,33,9,2
21,23,20,25,9,2
21,22,19,27,9,2
21,22,18,28,9,2
21,18,19,35,5,2
22,20,17,29,10,2
22,19,17,30,10,2
21,17,17,40,4,1
21,16,17,41,4,1
18,22,16,34,8,2
17,22,16,35,8,2
21,20,16,35,7,1
21,19,16,36,7,1
21,18,20,32,7,2
20,23,17,31,7,2
21,23,16,30,9,1
21,19,13,38,8,1
22,17,14,38,7,2
17,20,16,37,8,2
18,19,16,37,8,2
17,23,16,32,10,2
16,23,16,33,10,2
18,23,16,31,10,2
22,21,19,32,4,2
22,21,18,33,4,2
21,23,20,27,7,2
16,22,16,36,8,2
22,20,13,39,4,2
22,21,16,32,8,1
16,20,17,38,7,2
17,19,17,38,7,2
21,26,16,31,4,2
